,Name,Author,Genre,Price
308,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,Fiction,12.0
180,Olive Kitteridge,Elizabeth Strout,Fiction,12.0
143,Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,12.0
293,"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,Fiction,12.0
138,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,Non Fiction,12.0
117,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",J.K. Rowling,Fiction,12.0
160,Little Fires Everywhere,Celeste Ng,Fiction,12.0
218,The 5000 Year Leap,W. Cleon Skousen,Non Fiction,12.0
279,The Mueller Report,The Washington Post,Non Fiction,12.0
65,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,Fiction,12.0
226,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,Non Fiction,12.0
141,Joyland (Hard Case Crime),Stephen King,Fiction,12.0
321,Tina Fey: Bossypants,Tina Fey,Non Fiction,12.0
240,The Fault in Our Stars,John Green,Fiction,11.5
202,Sh*t My Dad Says,Justin Halpern,Non Fiction,11.0
27,Balance (Angie's Extreme Stress Menders),Angie Grace,Non Fiction,11.0
239,The Elegance of the Hedgehog,Muriel Barbery,Fiction,11.0
347,Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,Non Fiction,11.0
269,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,Non Fiction,11.0
236,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,Non Fiction,11.0
257,The Hate U Give,Angie Thomas,Fiction,11.0
5,A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,Fiction,11.0
225,The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,Fiction,11.0
86,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,Fiction,11.0
41,Catching Fire (The Hunger Games),Suzanne Collins,Fiction,11.0
30,Becoming,Michelle Obama,Non Fiction,11.0
319,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,Non Fiction,11.0
100,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,Non Fiction,11.0
330,Unfreedom of the Press,Mark R. Levin,Non Fiction,11.0
280,The Nightingale: A Novel,Kristin Hannah,Fiction,11.0
47,Cutting for Stone,Abraham Verghese,Fiction,11.0
166,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,Non Fiction,11.0
184,Orphan Train,Christina Baker Kline,Fiction,11.0
173,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,Non Fiction,11.0
113,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,Non Fiction,11.0
125,How to Win Friends & Influence People,Dale Carnegie,Non Fiction,11.0
263,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non Fiction,10.333333333333334
109,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,Non Fiction,10.0
309,The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,Non Fiction,10.0
145,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,10.0
48,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,Non Fiction,10.0
222,The Art of Racing in the Rain: A Novel,Garth Stein,Fiction,10.0
158,Little Bee: A Novel,Chris Cleave,Fiction,10.0
122,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,Non Fiction,10.0
312,The Wonderful Things You Will Be,Emily Winfield Martin,Fiction,10.0
299,"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,Fiction,10.0
275,"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,Fiction,10.0
190,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,Non Fiction,10.0
174,New Moon (The Twilight Saga),Stephenie Meyer,Fiction,10.0
254,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Fiction,10.0
170,Mindset: The New Psychology of Success,Carol S. Dweck,Non Fiction,10.0
199,Sarah's Key,Tatiana de Rosnay,Fiction,10.0
303,"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,Fiction,10.0
306,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,Non Fiction,10.0
104,Gone Girl,Gillian Flynn,Fiction,9.666666666666666
93,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,Non Fiction,9.0
102,Go the F**k to Sleep,Adam Mansbach,Fiction,9.0
91,Food Rules: An Eater's Manual,Michael Pollan,Non Fiction,9.0
242,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,Non Fiction,9.0
81,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,Non Fiction,9.0
114,Harry Potter Coloring Book,Scholastic,Non Fiction,9.0
301,The Sun and Her Flowers,Rupi Kaur,Non Fiction,9.0
305,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,Non Fiction,9.0
246,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,Fiction,9.0
237,The Day the Crayons Quit,Drew Daywalt,Fiction,9.0
175,Night (Night),Elie Wiesel,Non Fiction,9.0
77,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,Non Fiction,9.0
